,name,img,video
64,[15분 레시피] 김풍 작가의 '풍장금',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190730_105954_110_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10311673/view
65,[15분 레시피] 샘킴 셰프의 '내가 왕이 될 밥상인가?',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190730_105852_722_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10311671/view
66,[15분 레시피] 정호영 셰프의 '흐린 기억속의 고추장찌개♬',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190730_105743_065_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10311669/view
67,[15분 레시피] 송훈 셰프의 '순대거탑',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190730_105631_700_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10311667/view
68,[15분 레시피] 오세득 셰프의 '이게 불낙이야',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190723_105134_124_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10310335/view
69,[15분 레시피] 유현수 셰프의 '공동만두구역',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190723_104953_764_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10310331/view
70,[15분 레시피] 레이먼킴 셰프의 '국밥정상회담',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190723_104908_018_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10310329/view
71,[15분 레시피] 샘킴 셰프의 '응답하라 이탈리아',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190716_110611_700_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10309269/view
72,[15분 레시피] 레이먼킴 셰프의 '응답하라 바스크',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190716_110513_330_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10309267/view
73,[15분 레시피] 김풍 작가의 '만두가 캐비지',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190716_110431_549_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10309265/view
74,[15분 레시피] 정호영 셰프의 '짜장왕',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190716_110337_756_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10309263/view
75,[15분 레시피] 오세득 셰프의 '강정으로 이기면 돼지?',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190709_110344_750_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10307645/view
76,[15분 레시피] 유현수 셰프의 '맛있으면 돼지?',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190709_110247_711_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10307643/view
77,[15분 레시피] 이연복 셰프의 '베이징닭 말고 뭣이 중헌디!',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190709_110151_647_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10307641/view
78,[15분 레시피] 송훈 셰프의 '뉴욕 버터 치킨',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190709_110056_472_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10307639/view
79,[15분 레시피] 정호영 셰프의 '와일드 아이즈면',https://fs.jtbc.co.kr/joydata/CP00000001/prog/enter/janggo/img/20190702_112243_410_1.jpg,https://tv.jtbc.co.kr/vod/pr10010331/pm10031085/vo10305792/view
